# ALL CHANNELS for ALL REGIONS
# 'map' == channel id == channel number  # (region id) -- channel title 
# 
# Sorted by channel number
# 
map==cbDn==0101 		# (cbfN) -- BBC Radio 1 Northern Ireland 
map==cbDn==0101 		# (cbgr) -- BBC Radio 1 Northern Ireland 
map==cbDt==0101 		# (cbfX) -- BBC Radio 1 Scotland 
map==cbDt==0101 		# (cbfZ) -- BBC Radio 1 Scotland 
map==cbDt==0101 		# (cbfY) -- BBC Radio 1 Scotland 
map==cbDt==0101 		# (cbgB) -- BBC Radio 1 Scotland 
map==cbDt==0101 		# (cbgC) -- BBC Radio 1 Scotland 
map==cbDt==0101 		# (cbgD) -- BBC Radio 1 Scotland 
map==cbDz==0101 		# (cbf4) -- BBC Radio 1 Wales 
map==cbDz==0101 		# (cbgG) -- BBC Radio 1 Wales 
map==cbcQ==0101 		# (cbfP) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbfQ) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbfR) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbfS) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbfT) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbfV) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbfW) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbf2) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbf5) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbf6) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbf7) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbf8) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbf9) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgb) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgc) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgd) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgf) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgg) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgh) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgj) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgk) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgm) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgn) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgs) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgt) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgv) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgw) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgx) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgy) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgz) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgF) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgH) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgJ) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgK) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgM) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgN) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgP) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgQ) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgR) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgS) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgT) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgV) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgW) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgX) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgZ) -- BBC Radio 1 England 
map==cbcQ==0101 		# (cbgY) -- BBC Radio 1 England 
map==cbcS==0102 		# (cbfN) -- BBC Radio 2 
map==cbcS==0102 		# (cbfP) -- BBC Radio 2 
map==cbcS==0102 		# (cbfQ) -- BBC Radio 2 
map==cbcS==0102 		# (cbfR) -- BBC Radio 2 
map==cbcS==0102 		# (cbfS) -- BBC Radio 2 
map==cbcS==0102 		# (cbfT) -- BBC Radio 2 
map==cbcS==0102 		# (cbfV) -- BBC Radio 2 
map==cbcS==0102 		# (cbfW) -- BBC Radio 2 
map==cbcS==0102 		# (cbfX) -- BBC Radio 2 
map==cbcS==0102 		# (cbfZ) -- BBC Radio 2 
map==cbcS==0102 		# (cbfY) -- BBC Radio 2 
map==cbcS==0102 		# (cbf2) -- BBC Radio 2 
map==cbcS==0102 		# (cbf4) -- BBC Radio 2 
map==cbcS==0102 		# (cbf5) -- BBC Radio 2 
map==cbcS==0102 		# (cbf6) -- BBC Radio 2 
map==cbcS==0102 		# (cbf7) -- BBC Radio 2 
map==cbcS==0102 		# (cbf8) -- BBC Radio 2 
map==cbcS==0102 		# (cbf9) -- BBC Radio 2 
map==cbcS==0102 		# (cbgb) -- BBC Radio 2 
map==cbcS==0102 		# (cbgc) -- BBC Radio 2 
map==cbcS==0102 		# (cbgd) -- BBC Radio 2 
map==cbcS==0102 		# (cbgf) -- BBC Radio 2 
map==cbcS==0102 		# (cbgg) -- BBC Radio 2 
map==cbcS==0102 		# (cbgh) -- BBC Radio 2 
map==cbcS==0102 		# (cbgj) -- BBC Radio 2 
map==cbcS==0102 		# (cbgk) -- BBC Radio 2 
map==cbcS==0102 		# (cbgm) -- BBC Radio 2 
map==cbcS==0102 		# (cbgn) -- BBC Radio 2 
map==cbcS==0102 		# (cbgr) -- BBC Radio 2 
map==cbcS==0102 		# (cbgs) -- BBC Radio 2 
map==cbcS==0102 		# (cbgt) -- BBC Radio 2 
map==cbcS==0102 		# (cbgv) -- BBC Radio 2 
map==cbcS==0102 		# (cbgw) -- BBC Radio 2 
map==cbcS==0102 		# (cbgx) -- BBC Radio 2 
map==cbcS==0102 		# (cbgy) -- BBC Radio 2 
map==cbcS==0102 		# (cbgz) -- BBC Radio 2 
map==cbcS==0102 		# (cbgB) -- BBC Radio 2 
map==cbcS==0102 		# (cbgC) -- BBC Radio 2 
map==cbcS==0102 		# (cbgD) -- BBC Radio 2 
map==cbcS==0102 		# (cbgF) -- BBC Radio 2 
map==cbcS==0102 		# (cbgG) -- BBC Radio 2 
map==cbcS==0102 		# (cbgH) -- BBC Radio 2 
map==cbcS==0102 		# (cbgJ) -- BBC Radio 2 
map==cbcS==0102 		# (cbgK) -- BBC Radio 2 
map==cbcS==0102 		# (cbgM) -- BBC Radio 2 
map==cbcS==0102 		# (cbgN) -- BBC Radio 2 
map==cbcS==0102 		# (cbgP) -- BBC Radio 2 
map==cbcS==0102 		# (cbgQ) -- BBC Radio 2 
map==cbcS==0102 		# (cbgR) -- BBC Radio 2 
map==cbcS==0102 		# (cbgS) -- BBC Radio 2 
map==cbcS==0102 		# (cbgT) -- BBC Radio 2 
map==cbcS==0102 		# (cbgV) -- BBC Radio 2 
map==cbcS==0102 		# (cbgW) -- BBC Radio 2 
map==cbcS==0102 		# (cbgX) -- BBC Radio 2 
map==cbcS==0102 		# (cbgZ) -- BBC Radio 2 
map==cbcS==0102 		# (cbgY) -- BBC Radio 2 
map==cbcT==0103 		# (cbfN) -- BBC Radio 3 
map==cbcT==0103 		# (cbfP) -- BBC Radio 3 
map==cbcT==0103 		# (cbfQ) -- BBC Radio 3 
map==cbcT==0103 		# (cbfR) -- BBC Radio 3 
map==cbcT==0103 		# (cbfS) -- BBC Radio 3 
map==cbcT==0103 		# (cbfT) -- BBC Radio 3 
map==cbcT==0103 		# (cbfV) -- BBC Radio 3 
map==cbcT==0103 		# (cbfW) -- BBC Radio 3 
map==cbcT==0103 		# (cbfX) -- BBC Radio 3 
map==cbcT==0103 		# (cbfZ) -- BBC Radio 3 
map==cbcT==0103 		# (cbfY) -- BBC Radio 3 
map==cbcT==0103 		# (cbf2) -- BBC Radio 3 
map==cbcT==0103 		# (cbf4) -- BBC Radio 3 
map==cbcT==0103 		# (cbf5) -- BBC Radio 3 
map==cbcT==0103 		# (cbf6) -- BBC Radio 3 
map==cbcT==0103 		# (cbf7) -- BBC Radio 3 
map==cbcT==0103 		# (cbf8) -- BBC Radio 3 
map==cbcT==0103 		# (cbf9) -- BBC Radio 3 
map==cbcT==0103 		# (cbgb) -- BBC Radio 3 
map==cbcT==0103 		# (cbgc) -- BBC Radio 3 
map==cbcT==0103 		# (cbgd) -- BBC Radio 3 
map==cbcT==0103 		# (cbgf) -- BBC Radio 3 
map==cbcT==0103 		# (cbgg) -- BBC Radio 3 
map==cbcT==0103 		# (cbgh) -- BBC Radio 3 
map==cbcT==0103 		# (cbgj) -- BBC Radio 3 
map==cbcT==0103 		# (cbgk) -- BBC Radio 3 
map==cbcT==0103 		# (cbgm) -- BBC Radio 3 
map==cbcT==0103 		# (cbgn) -- BBC Radio 3 
map==cbcT==0103 		# (cbgr) -- BBC Radio 3 
map==cbcT==0103 		# (cbgs) -- BBC Radio 3 
map==cbcT==0103 		# (cbgt) -- BBC Radio 3 
map==cbcT==0103 		# (cbgv) -- BBC Radio 3 
map==cbcT==0103 		# (cbgw) -- BBC Radio 3 
map==cbcT==0103 		# (cbgx) -- BBC Radio 3 
map==cbcT==0103 		# (cbgy) -- BBC Radio 3 
map==cbcT==0103 		# (cbgz) -- BBC Radio 3 
map==cbcT==0103 		# (cbgB) -- BBC Radio 3 
map==cbcT==0103 		# (cbgC) -- BBC Radio 3 
map==cbcT==0103 		# (cbgD) -- BBC Radio 3 
map==cbcT==0103 		# (cbgF) -- BBC Radio 3 
map==cbcT==0103 		# (cbgG) -- BBC Radio 3 
map==cbcT==0103 		# (cbgH) -- BBC Radio 3 
map==cbcT==0103 		# (cbgJ) -- BBC Radio 3 
map==cbcT==0103 		# (cbgK) -- BBC Radio 3 
map==cbcT==0103 		# (cbgM) -- BBC Radio 3 
map==cbcT==0103 		# (cbgN) -- BBC Radio 3 
map==cbcT==0103 		# (cbgP) -- BBC Radio 3 
map==cbcT==0103 		# (cbgQ) -- BBC Radio 3 
map==cbcT==0103 		# (cbgR) -- BBC Radio 3 
map==cbcT==0103 		# (cbgS) -- BBC Radio 3 
map==cbcT==0103 		# (cbgT) -- BBC Radio 3 
map==cbcT==0103 		# (cbgV) -- BBC Radio 3 
map==cbcT==0103 		# (cbgW) -- BBC Radio 3 
map==cbcT==0103 		# (cbgX) -- BBC Radio 3 
map==cbcT==0103 		# (cbgZ) -- BBC Radio 3 
map==cbcT==0103 		# (cbgY) -- BBC Radio 3 
map==cbcV==0104 		# (cbfN) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbfP) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbfQ) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbfR) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbfS) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbfT) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbfV) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbfW) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbfX) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbfZ) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbfY) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbf2) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbf4) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbf5) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbf6) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbf7) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbf8) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbf9) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgb) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgc) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgd) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgf) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgg) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgh) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgj) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgk) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgm) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgn) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgr) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgs) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgt) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgv) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgw) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgx) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgy) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgz) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgB) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgC) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgD) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgF) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgG) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgH) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgJ) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgK) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgM) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgN) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgP) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgQ) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgR) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgS) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgT) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgV) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgW) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgX) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgZ) -- BBC Radio 4 FM 
map==cbcV==0104 		# (cbgY) -- BBC Radio 4 FM 
map==cbcW==0105 		# (cbfN) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbfP) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbfQ) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbfR) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbfS) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbfT) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbfV) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbfW) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbfX) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbfZ) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbfY) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbf2) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbf4) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbf5) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbf6) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbf7) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbf8) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbf9) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgb) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgc) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgd) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgf) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgg) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgh) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgj) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgk) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgm) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgn) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgr) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgs) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgt) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgv) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgw) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgx) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgy) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgz) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgB) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgC) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgD) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgF) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgG) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgH) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgJ) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgK) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgM) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgN) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgP) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgQ) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgR) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgS) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgT) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgV) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgW) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgX) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgZ) -- BBC Radio 5 live 
map==cbcW==0105 		# (cbgY) -- BBC Radio 5 live 
map==cbn8==0106 		# (cbfN) -- Classic FM 
map==cbn8==0106 		# (cbfP) -- Classic FM 
map==cbn8==0106 		# (cbfQ) -- Classic FM 
map==cbn8==0106 		# (cbfR) -- Classic FM 
map==cbn8==0106 		# (cbfS) -- Classic FM 
map==cbn8==0106 		# (cbfT) -- Classic FM 
map==cbn8==0106 		# (cbfV) -- Classic FM 
map==cbn8==0106 		# (cbfW) -- Classic FM 
map==cbn8==0106 		# (cbfX) -- Classic FM 
map==cbn8==0106 		# (cbfZ) -- Classic FM 
map==cbn8==0106 		# (cbfY) -- Classic FM 
map==cbn8==0106 		# (cbf2) -- Classic FM 
map==cbn8==0106 		# (cbf4) -- Classic FM 
map==cbn8==0106 		# (cbf5) -- Classic FM 
map==cbn8==0106 		# (cbf6) -- Classic FM 
map==cbn8==0106 		# (cbf7) -- Classic FM 
map==cbn8==0106 		# (cbf8) -- Classic FM 
map==cbn8==0106 		# (cbf9) -- Classic FM 
map==cbn8==0106 		# (cbgb) -- Classic FM 
map==cbn8==0106 		# (cbgc) -- Classic FM 
